"id","campaign","campaign url","funding instrument id","funding instrument name","time","campaign start date","campaign end date","spend","impressions","engagements","billed engagements","retweets","replies","follows","clicks","favorites","card engagements","unfollows","engagement rate","link clicks","cost per link click","link click rate","product type","currency","current remaining budget","current bid","current daily budget","current total budget","sign ups - engage","sign ups - view","sign ups - assisted","site visits - engage","site visits - view","total conversions","cost per conversion","conversion rate"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.42","1503","20","7","0","0","0","20","0","0","0","0.01330671989354624","12","0.9516666666666667","0.007984031936127744","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","10.33","1481","13","5","0","0","0","13","0","0","0","0.008777852802160702","5","2.066","0.00337609723160027","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.42","1429","18","7","0","0","1","17","0","0","0","0.012596221133659902","9","1.268888888888889","0.006298110566829951","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3210534","UG_Transfer_Additional Spend","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3210534&end=1420558654&segment=tweets&start=1418826480","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-12-17 09:28 -0500","2015-01-19 10:28 -0500","11.6484","2427","33","5","0","0","2","31","0","0","0","0.013597033374536464","7","1.664057142857143","0.00288421920065925","Website clicks or conversions · Keywords","USD","145.9416","3.08","11.42","377.0","0","0","0","0","0","0","0.0","0.0"
"3155090","USM High School Undergrad-Additional Spend ","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3155090&end=1420558654&segment=tweets&start=1418852940","31290892","Credit/debit card","2014-12-30 00:00 -0500","2014-12-17 16:49 -0500","2015-01-09 17:49 -0500","12.88","1124","13","6","0","0","1","12","0","0","0","0.011565836298932384","6","2.146666666666667","0.005338078291814947","Website clicks or conversions · Keywords","USD","254.71","3.08","30.69","500.0","0","0","0","0","0","0","0.0","0.0"
"3155090","USM High School Undergrad-Additional Spend ","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3155090&end=1420558654&segment=tweets&start=1418852940","31290892","Credit/debit card","2014-12-31 00:00 -0500","2014-12-17 16:49 -0500","2015-01-09 17:49 -0500","7.58","920","9","4","0","0","0","9","0","0","0","0.009782608695652175","4","1.895","0.004347826086956522","Website clicks or conversions · Keywords","USD","254.71","3.08","30.69","500.0","0","0","0","0","0","0","0.0","0.0"
"3155090","USM High School Undergrad-Additional Spend ","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3155090&end=1420558654&segment=tweets&start=1418852940","31290892","Credit/debit card","2015-01-01 00:00 -0500","2014-12-17 16:49 -0500","2015-01-09 17:49 -0500","26.96","3517","34","14","1","0","0","33","0","0","0","0.009667330110889964","15","1.7973333333333334","0.004264998578333807","Website clicks or conversions · Keywords","USD","254.71","3.08","30.69","500.0","0","0","0","1","0","1","26.96","2.843332385555871E-4"
"3155090","USM High School Undergrad-Additional Spend ","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3155090&end=1420558654&segment=tweets&start=1418852940","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-12-17 16:49 -0500","2015-01-09 17:49 -0500","29.51","3268","44","16","0","0","0","44","0","0","0","0.01346389228886169","16","1.844375","0.004895960832313341","Website clicks or conversions · Keywords","USD","254.71","3.08","30.69","500.0","0","0","0","0","0","0","0.0","0.0"
"3155090","USM High School Undergrad-Additional Spend ","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3155090&end=1420558654&segment=tweets&start=1418852940","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-12-17 16:49 -0500","2015-01-09 17:49 -0500","9.18","3369","32","6","0","0","2","30","0","0","0","0.009498367468091422","6","1.53","0.0017809439002671415","Website clicks or conversions · Keywords","USD","254.71","3.08","30.69","500.0","0","0","0","0","0","0","0.0","0.0"
"3155090","USM High School Undergrad-Additional Spend ","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3155090&end=1420558654&segment=tweets&start=1418852940","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-12-17 16:49 -0500","2015-01-09 17:49 -0500","16.03","2860","21","8","0","0","0","21","0","0","0","0.0073426573426573424","8","2.00375","0.002797202797202797","Website clicks or conversions · Keywords","USD","254.71","3.08","30.69","500.0","0","0","0","1","0","1","16.03","3.4965034965034965E-4"
"3155090","USM High School Undergrad-Additional Spend ","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=3155090&end=1420558654&segment=tweets&start=1418852940","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-12-17 16:49 -0500","2015-01-09 17:49 -0500","18.79","2707","26","4","0","0","1","25","0","0","0","0.009604728481714075","10","1.879","0.003694126339120798","Website clicks or conversions · Keywords","USD","254.71","3.08","30.69","500.0","0","0","0","1","1","2","9.395","7.388252678241596E-4"
"2734107","Degree Completer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2734107&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2014-12-30 00:00 -0500","2014-09-24 12:00 -0400","2015-06-30 23:59 -0400","0.0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0.0","Website clicks or conversions · Keywords","USD","1962.73","3.17","8.64","2000.0","0","0","0","0","0","0","0.0","0.0"
"2734107","Degree Completer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2734107&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2014-12-31 00:00 -0500","2014-09-24 12:00 -0400","2015-06-30 23:59 -0400","0.0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0.0","Website clicks or conversions · Keywords","USD","1962.73","3.17","8.64","2000.0","0","0","0","0","0","0","0.0","0.0"
"2734107","Degree Completer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2734107&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-01 00:00 -0500","2014-09-24 12:00 -0400","2015-06-30 23:59 -0400","0.0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0.0","Website clicks or conversions · Keywords","USD","1962.73","3.17","8.64","2000.0","0","0","0","0","0","0","0.0","0.0"
"2734107","Degree Completer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2734107&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-09-24 12:00 -0400","2015-06-30 23:59 -0400","0.0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0.0","Website clicks or conversions · Keywords","USD","1962.73","3.17","8.64","2000.0","0","0","0","0","0","0","0.0","0.0"
"2734107","Degree Completer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2734107&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-03 00:00 -0500","2014-09-24 12:00 -0400","2015-06-30 23:59 -0400","0.0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0.0","Website clicks or conversions · Keywords","USD","1962.73","3.17","8.64","2000.0","0","0","0","0","0","0","0.0","0.0"
"2734107","Degree Completer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2734107&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-04 00:00 -0500","2014-09-24 12:00 -0400","2015-06-30 23:59 -0400","0.0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0.0","Website clicks or conversions · Keywords","USD","1962.73","3.17","8.64","2000.0","0","0","0","0","0","0","0.0","0.0"
"2734107","Degree Completer","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2734107&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-05 00:00 -0500","2014-09-24 12:00 -0400","2015-06-30 23:59 -0400","0.0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0.0","Website clicks or conversions · Keywords","USD","1962.73","3.17","8.64","2000.0","0","0","0","0","0","0","0.0","0.0"
"2723732","USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2723732&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2014-12-30 00:00 -0500","2014-09-22 14:36 -0400","2015-06-30 23:59 -0400","2.28","327","6","2","0","0","0","6","0","0","0","0.01834862385321101","2","1.14","0.0061162079510703364","Website clicks or conversions · Interests","USD","1162.858","2.28","2.28","1375.0","0","0","0","0","0","0","0.0","0.0"
"2723732","USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2723732&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2014-12-31 00:00 -0500","2014-09-22 14:36 -0400","2015-06-30 23:59 -0400","1.97","210","2","1","0","0","0","2","0","0","0","0.009523809523809525","1","1.97","0.004761904761904762","Website clicks or conversions · Interests","USD","1162.858","2.28","2.28","1375.0","0","0","0","0","0","0","0.0","0.0"
"2723732","USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2723732&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-01 00:00 -0500","2014-09-22 14:36 -0400","2015-06-30 23:59 -0400","2.28","525","7","2","0","0","0","7","0","0","0","0.013333333333333334","3","0.7599999999999999","0.005714285714285714","Website clicks or conversions · Interests","USD","1162.858","2.28","2.28","1375.0","0","0","0","0","0","0","0.0","0.0"
"2723732","USM Graduate","https://ads.twitter.com/accounts/doh5s/campaigns_dashboard?campaign=2723732&end=1420558654&segment=tweets&start=1412782654","31290892","Credit/debit card","2015-01-02 00:00 -0500","2014-09-22 14:36 -0400","2015-06-30 23:59 -0400","2.28","296","7","2","0","0","0","7","0","0","0","0.02364864864864865","3","0.7599999999999999","0.010135135135135136","Website clicks or conversions · Interests","USD","1162.858","2.28","2.28","1375.0","0","0","0","0","0","0","0.0","0.0"
