DATE,ADVERTISER NAME,CURRENCY,CAMPAIGN ID,CAMPAIGN NAME,CAMPAIGN TYPE,CAMPAIGN STATUS,COST TYPE,CAMPAIGN DAILY BUDGET,CAMPAIGN TOTAL BUDGET,LEAD COUNT,IMPRESSIONS,CLICKS,OTHER CLICKS,SOCIAL ACTIONS,TOTAL CLICKS,CLICK THROUGH RATE (%),TOTAL CLICK THROUGH RATE (%),AVERAGE CPC,AVERAGE CPM,TOTAL SPENT
6-Jan-15,University of Southern Maine,USD,117250621,PDP- Broader Targeting,LinkedIn Ads,On,CPC,29.68,0,-,21355,5,0,-,5,0.023,0.023,5.88,1.38,29.42
7-Jan-15,University of Southern Maine,USD,117250621,PDP- Broader Targeting,LinkedIn Ads,On,CPC,29.68,0,-,5835,5,0,-,5,0.086,0.086,6.2,5.31,31
8-Jan-15,University of Southern Maine,USD,117250621,PDP- Broader Targeting,LinkedIn Ads,On,CPC,29.68,0,-,24585,6,0,-,6,0.024,0.024,5.6,1.37,33.6
9-Jan-15,University of Southern Maine,USD,117250621,PDP- Broader Targeting,LinkedIn Ads,On,CPC,29.68,0,-,10410,5,0,-,5,0.048,0.048,5.66,2.72,28.28
10-Jan-15,University of Southern Maine,USD,117250621,PDP- Broader Targeting,LinkedIn Ads,On,CPC,29.68,0,-,5550,4,0,-,4,0.072,0.072,4.75,3.42,19
11-Jan-15,University of Southern Maine,USD,117250621,PDP- Broader Targeting,LinkedIn Ads,On,CPC,29.68,0,-,5320,2,0,-,2,0.038,0.038,5.67,2.13,11.33
12-Jan-15,University of Southern Maine,USD,117250621,PDP- Broader Targeting,LinkedIn Ads,On,CPC,29.68,0,-,14964,5,0,-,5,0.033,0.033,5.54,1.85,27.68
,,,,,,,,,,,,,,,,,,,,
